// rate library for f06: radical recombination
// Originally from rate_library_4.txt, Cath, 03/07/28

// jing, define key word for format of the rate: either Arrhenius or Arrhenius_EP
Arrhenius_EP

// Catherina Wijaya thesis pg 156
//f06_radical_recombination

//No.		Y_rad			Y_rad			Temp.		A			n	a		E0		DA		Dn		Da		DE0		Rank	Comments
456.		C_rad/H/NonDeC	C_rad/H/NonDeC	300-2500	3.25E+14	-0.70	0		0		*2.0	0		0		0		4	Tsang [91] literature review.
457.		C_rad/H/NonDeC	C_rad/Cs3		300-2500	4.12E+15	-1.10	0		0		*1.5	0		0		0		4	Tsang [92] literature review.
458.		C_rad/H/NonDeC	CO_rad/NonDe	300-2500	6.64E+13	-0.35	0		0		*2.0	0		0		0		4	Tsang [91] literature review.
459.		C_rad/H/NonDeC	O_rad/NonDe		300-2500	6.03E+12	0		0		0		*5.0	0		0		0		4	Tsang [91] literature review.
460.		C_rad/Cs3		C_rad/Cs3		300-2500	1.24E+16	-1.50	0		0		*2.0	0		0		0		4	Tsang [92] literature review.
461.		C_rad/Cs3		CO_pri_rad		300-2500	1.21E+13	0		0		0		*5.0	0		0		0		4	Tsang [92] literature review.
462.		C_rad/Cs3		CO_rad/NonDe	300-2500	7.75E+14	-0.75	0		0		*2.0	0		0		0		4	Tsang [92] literature review.
463.		C_rad/Cs3		O_rad/NonDe		300-2500	9.04E+12	0		0		0		*3.0	0		0		0		4	Tsang [92] literature review.
464.		Cd_pri_rad		Cd_pri_rad		298			7.23E+13	0		0		0		1.2E+13	0		0		0		4	Fahr et al. [171]
465.		Cd_pri_rad		Ct_rad			700-1300	1.0E+14		0		0		0		0		0		0		0		3	Duran et al. [165]
466.		Cd_pri_rad		CO_pri_rad		300-2500	1.81E+13	0		0		0		*3.0	0		0		0		4	Tsang [89] literature review.
467.		Cb_rad			Cb_rad			1100-1400	5.7E+12		0		0		0		0		0		0		0		3	Heckmann et al. [124]
468.		Cb_rad			Cb_rad			300-500		1.39E+13	0		0		0.11	0.11E+13 	0		0		0.072	3	Park et al. [181]
469.		CO_pri_rad		CO_pri_rad		298			1.51E+13	0		0		0		6.02E+12	0		0		0		3	Stoeckel et al. [182]
470.		CO_pri_rad		CO_rad/NonDe	300-2500	1.81E+13	0		0		0		*3.0	0		0		0		4	Tsang [89] literature review.
471.		CO_rad/NonDe	CO_rad/NonDe	300-2500	1.21E+13	0		0		0		*2.0	0		0		0		4	Tsang [89] literature review.
472.		O_pri_rad		O_pri_rad		200-400		1.57E+13	0		0		0		6.02E+12	0.5		0		0		4	DeMore et al. [183] literature review.
473.		O_rad/NonDe		O_rad/NonDe		300-2500	1.81E+12	0		0		0		*5.0	0		0		0		4	Tsang [89] literature review.
474.		H_rad			Cs_rad			300-1500	5E+13		0		0		0		0		0		0		0		5	Curran's [8] estimation. 
475.		C_methyl		C_ter_rad		300-1500	1.63E+13	0		0		0.596	0		0		0		0		5	Curran's [8] estimation. 
476.		C_methyl		C_sec_rad		300-1500	6.80E+14	-0.68	0		0		0		0		0		0		5	Curran's [8] estimation. 
477.		C_pri_rad		C_sec_rad		300-1500	4.79E+14	-0.75	0		0		0		0		0		0		5	Curran's [8] estimation.
478.		C_pri_rad		C_ter_rad		300-1500	3.59E+14	-0.75	0		0		0		0		0		0		5	Curran's [8] estimation. 
479.		O_pri_rad		O_sec_rad		300-1500	2.0E+13		0		0		0		0		0		0		0		5	Curran's [159] estimation.
480.		O2_birad		H_rad			298-6000	4.395E+10	1.00	0	0.45	0		0	0	0	4	Duchovic et al. [142] RRK(M) extrapolation. Probably could do better.
481.		O2_birad		H_rad			300-1500	8.15E+12	0	0	0.76	0		0	0	0	3	Cobos, C.J and Troe, J. [106] Transition state theory.
482.		O2_birad		C_methyl		300-1500	2.26E+12	0	0	0	4.2E11	0	0	0	5	Curran et al. [8] From Lenhardt et al. [143]. (Measured at 300K) (n-butyl not methyl)
483.		O2_birad		C_pri_rad		300-1500	2.26E+12	0	0	0	4.2E11	0	0	0	5	Curran et al. [8] From Lenhardt et al. [143]. (Measured at 300K)
484.		O2_birad		C_sec_rad		300-1500	3.77E+12	0	0	0	1.0E12	0	0	0	5	Curran et al. [8]. (Estimated at 300K)
485.		O2_birad		C_ter_rad		300-1500	7.05E+12	0	0	0	1.17E12	0	0	0	5	Curran et al. [8] From Lenhardt et al. [143]. (Measured at 300K)
486.		O2_birad		Cd_pri_rad		300-1500	3.0E+12	0	0	0	0		0	0	0	4	Bozzelli et al. [144] RRKM extrapolation ( adjusted to match data).
//487.		O2_birad		Ct_rad			300-1500	3.0E+12	0	0	0	0		0	0	0	0	estimated to be the same as Cd_pri_rad + O2.
488.		O2_birad		Cb_rad			297-473		3.015E+12	0	0	0.32	*1.2		0	0	0.13	3	Yu, T. and Lin, M.C. [145]
489.		O2_birad		CO_pri_rad		300-2500	3.5E+12	0	0	0	0		0	0	0	4	Bozzelli et al. [144] RRKM extrapolation.
490.		O2_birad		CO_rad/NonDe	200-300		1.505E+12	0	0	0	*3.16		0	0	0	4	Atkinson et al [96] literature review.	
