Species name	SMILES	Enthaply discrepancy at 298K
HO2CH2CO	O=[C]COO	-7.9
HOCH2OCO	O=[C]OCO	-0.0
BC5H11O2H	CCC(C)(C)OO	-11.6
C4H8OOH2-4O2	CC(CCO[O])OO	2.8
AC5H9O-C	C=C(C)C(C)[O]	0.0
IC4H9O	CC(C)C[O]	0.9
C5H11O2-1	CCCCCO[O]	-0.0
CC5H9O-B	C=CC(C)(C)[O]	0.0
TC4H9O	CC(C)(C)[O]	1.4
C5H6	C1C=CCC=1	-0.0
C4H71-3OOCH3	C=CC(C)OOC	21.5
AC5H11O	CCC(C)C[O]	0.6
C2H3OOH	C=COO	6.7
C4H7O1-2OOH-3	CC(OO)C1CO1	0.6
CH3COCH2O	CC(=O)C[O]	-6.3
C5H11O-3	CCC([O])CC	0.0
C5H91-2,3OOH	[CH2]C(OO)C(CC)OO	0.0
C5H91-4,5OOH	[CH2]CCC(COO)OO	0.0
SC2H2OH	C=[C]O	-11.7
CH3CHCH2COCH3	C[CH]CC(C)=O	-3.4
C5H9O1-3OOH-2	CCC1OCC1OO	0.0
IC3H5CHO	C=C(C)C=O	0.0
C6H5OO	[O]OC1C=CC=CC=1	0.0
CC5H10OOH-B	C[C](C)C(C)OO	0.2
BC5H10OOH-A	[CH2]C(C)(CC)OO	-11.6
C5H9O1-5OOH-2	OOC1CCCOC1	-0.0
H15DE2M-T	C=[C]CCC(=C)C	0.0
C4H5-2	[CH2]C#CC	0.0
CH2CCH2OH	C=[C]CO	-0.0
C3H6O1-2	CC1CO1	0.3
C5H11O2H-1	CCCCCOO	0.0
CVCCVCCOH	C=CC=CCO	-0.0
C5H10OOH1-5	[CH2]CCCCOO	-0.0
HOCH2O	[O]CO	-6.7
C3H6OH1-1	CC[CH]O	-2.4
SC3H5OH	CC=CO	-4.9
C5H91-3,4OOH	[CH2]CC(OO)C(C)OO	-0.0
C2H4O2H	[CH2]COO	-9.8
NH2	[NH2]	2.7
C4H72-1,4OOH	OOC[CH]CCOO	6.4
IC4H8	C=C(C)C	0.1
C5H5	[CH]1C=CC=C1	0.9
IC4H7O	C=C(C)C[O]	0.0
IC3H7CHO	CC(C)C=O	0.0
CC5H10	C=CC(C)C	-0.0
PC4H9CO	CCCC[C]=O	-1.7
B13DE2MJ	[CH2]C(=C)C=C	-0.0
H15DE25DM-A	[CH2]C(=C)CCC(=C)C	0.0
C5H7	[CH]1C=CCC1	0.0
PC4H9O2H	CCCCOO	2.0
AC5H9-A2	[CH2]C(=C)CC	-0.0
CC5H9-A	[CH2]C(C)C=C	-10.8
IC3H4CHO-A	[CH2]C(=C)C=O	-17.2
TC3H6CHO	C[C](C)C=O	0.0
IC4H7OH	C=C(C)CO	0.0
IC4H9O2	CC(C)CO[O]	0.0
TC4H9O2	CC(C)(C)O[O]	0.0
C#CCVCCJ	C#CC=C[CH2]	0.0
C5H93-1,2OOH	CC[CH]C(COO)OO	0.0
C5H10OOH3-2O2	CCC(OO)C(C)O[O]	-0.0
C5H91-2,5OOH	[CH2]C(CCCOO)OO	-0.0
NEOC5KETOX	CC(C)(C=O)C[O]	0.0
IC3H5CO	C=C(C)[C]=O	-18.0
C5H10OOH1-2O2	CCCC(COO)O[O]	0.0
IC4H7O2	C=C(C)CO[O]	-0.0
C2H5COC2H5	CCC(=O)CC	-0.6
IC4H7-I1	[CH]=C(C)C	-0.0
C3H6OOH1-2	C[CH]COO	-10.2
C4H8OOH1-4O2	[O]OCCCCOO	4.2
C5H11O2-3	CCC(CC)O[O]	-0.0
H15DE25DM-AO	C=C(C)CCC(=C)C[O]	-0.0
C5H91-3OOH	C=CC(CC)OO	0.0
C5H10OOH1-2	CCC[CH]COO	-0.0
C2H3COCH3	C=CC(C)=O	-0.9
C4H71-2,3OOH	[CH2]C(OO)C(C)OO	1.0
TQJC4H8OH	CC(C)(CO)O[O]	0.0
C4H5OH-13	C=CC=CO	0.5
C5H92-1OOH	CCC=CCOO	-0.0
C5H10OOH2-5O2	CC(CCCO[O])OO	0.0
C4H71-2,4OOH	[CH2]C(CCOO)OO	2.4
IC3H5COCH3	C=C(C)C(C)=O	0.0
AC5H11O2	CCC(C)CO[O]	0.6
C3H5OH	C=CCO	2.2
CCYCCOOC-T1	C[C]1COOC1	-0.0
C5H9O1-4OOH-3	CC1OCCC1OO	-0.0
C5H5OH	OC1C=CC=C1	6.4
QC4H7OHP	[CH2]C(C)(CO)OO	-0.0
IC4H7OOCH3	C=C(C)COOC	0.0
DC5H10OOH-C	CC(C)[CH]COO	0.6
C5H92-3,4OOH	C[CH]C(OO)C(C)OO	-0.0
C5H10OH14	C[CH]CCCO	-2.2
C5H9O2-3OOH-4	CC(OO)C1OC1C	-0.0
C4H7O1-3OOH-4	OOCC1CCO1	6.3
C6H5O	O=C1C=C[CH]C=C1	0.0
IC3H7CO	CC(C)[C]=O	0.8
C4H7O1-4OOH-2	OOC1CCOC1	0.5
AC5H10OOH-B	CC[C](C)COO	0.2
C5H92-4,5OOH	C[CH]CC(COO)OO	-0.0
C5H10OOH1-4O2	CC(CCCOO)O[O]	0.0
IC3H5O2HCHO	[CH2]C(C)(C=O)OO	-0.0
C5H10O1-2	CCCC1CO1	-0.0
C5H11O2H-3	CCC(CC)OO	0.0
CCY(CCO)COH	CC1(CO)CO1	-0.0
C5H10OOH2-5	[CH2]CCC(C)OO	-0.0
CH3CH2CHCOCH3	CCC=C(C)[O]	-34.7
NC5KET14	CC(CCC=O)OO	0.0
IC4H8O2H-T	C[C](C)COO	-0.0
C5H10OOH3-2	C[CH]C(CC)OO	-0.0
SC4H7OH-I	CC(C)=CO	-0.0
C4H8OOH1-3	C[CH]CCOO	0.4
C4H8OOH1-4	[CH2]CCCOO	1.9
C4H8OOH1-2	CC[CH]COO	0.5
C3H6O1-3	C1COC1	-1.7
C5H9O13-5	[CH2]CC1CCO1	0.3
C4H8O1-4	C1CCOC1	-5.0
C3KET21	CC(=O)COO	7.6
C3H3O	C#CC[O]	-0.0
CC3H4	C1=CC1	-5.8
C2H2OH	[CH]=CO	1.4
C2H5COOH	CCC(=O)O	3.5
CH3COCH2O2	CC(=O)CO[O]	-8.2
C2CYCOOC-I1	[CH2]C1(C)COO1	0.0
C5H92-3,5OOH	C[CH]C(CCOO)OO	0.0
C4H8OOH2-3O2	CC(O[O])C(C)OO	1.3
C6H5OOH	OOC1C=CC=CC=1	-0.0
C6H5OH	OC1C=CC=CC=1	-0.0
C4H71-3,4OOH	[CH2]CC(COO)OO	2.6
C6H4OH	OC1C=CC=[C]C=1	-0.0
H15DE25DM-SO	C=C(C)CC([O])C(=C)C	0.0
H15DE25DM-S	[CH2]C(C)=CCC(=C)C	0.0
TC3H6O2CHO	CC(C)(C=O)O[O]	-0.0
C5H6-L	C#CC=CC	-0.0
NEOC5KEJOL	CC(C)([C]=O)CO	0.0
IC4H8OH-IT	C[C](C)CO	-1.5
IC4H7OOH	C=C(C)COO	0.0
C5H10OOH1-3O2	CCC(CCOO)O[O]	0.0
C4H8OOH1-2O2	CCC(COO)O[O]	2.8
C5H10OOH3-1O2	CCC(CCO[O])OO	0.0
C4H7O1-2OOH-4	OOCCC1CO1	2.0
C5H91-5OOH	C=CCCCOO	0.0
C5H92-1,4OOH	CC(C[CH]COO)OO	0.0
IC4H6OH	[CH2]C(C)=CO	-0.0
C8H131-5,3,TAO	C=CC(C)([O])CC=CC	-22.0
C8H131-5,3-4,TAO	C=CC(C)C(C)([O])C=C	5.1
TC4H9O2H	CC(C)(C)OO	0.0
SC3H5CO	CC=C[C]=O	-32.6
IC4H9O2H	CC(C)COO	-0.0
NC3H7CO	CCC[C]=O	-1.4
C5H4OH	OC1[CH]C=CC=1	-0.0
IC3H5COCH2	[CH2]C(=O)C(=C)C	-0.0
AC3H4COCH3	[CH2]C(=C)C(C)=O	0.0
C3H6CHO-1	[CH2]CCC=O	37.3
CH2CHOCH2	[CH]1CCO1	2.0
C5H9O2-4OOH-1	CC1CC(COO)O1	0.0
C5H92-5OOH	CC=CCCOO	0.0
OC6H4OH	O=C1C=C[CH]C(O)=C1	-0.0
C4H6O23	C1=COCC1	0.0
C5H92-1,3OOH	CCC([CH]COO)OO	0.0
CCYC2OCO	CC1(C[O])CO1	-0.0
NC5KET15O	[O]CCCCC=O	0.0
C5H92-4OOH	CC=CC(C)OO	-0.0
C3H6OOH1-3	[CH2]CCOO	-7.9
NC5KET31	CCC(=O)CCOO	-0.0
NC5KET24	CC(=O)CC(C)OO	-0.0
CH2CH2COCH3	[CH2]CC(C)=O	0.5
IC4H7OOIC4H7	C=C(C)COOCC(=C)C	-0.0
C5H5O	[O]C1C=CC=C1	-40.4
CH3COOH	CC(=O)O	-0.2
NC5CYCPER24	CC1CC(C)(O)OO1	-22.6
C5H4O	O=C1C=CC=C1	0.0
C5H9O1-2OOH-3	CCC(OO)C1CO1	0.0
C5H9O2-3OOH-1	CCC1OC1COO	0.0
C4H8OOH2-1O2	CCC(CO[O])OO	2.8
AC5H11O2H	CCC(C)COO	0.6
C5H91-4OOH	C=CCC(C)OO	0.0
C5H93-1,4OOH	CC([CH]CCOO)OO	0.0
C4H72-3,4OOH	C[CH]C(COO)OO	4.9
C5H10OOH1-4	C[CH]CCCOO	-0.0
A-BC5H10O	CCC1(C)CO1	0.4
C3H6OH2-1	[CH2]C(C)O	-40.6
C4H8O1-2	CCC1CO1	2.2
C5H91-3,5OOH	[CH2]CC(CCOO)OO	0.0
C5H10O2-3	CCC1OC1C	-0.0
C5H10O1-4	CC1CCCO1	-0.0
NC5KET13	CCC(CC=O)OO	0.0
TQC4H7OHI	CC(C)([CH]O)OO	0.0
C4H8OOH2-3	C[CH]C(C)OO	2.8
CH2CH2COC2H5	[CH2]CC(=O)CC	-0.4
IC4H7CHO	C=C(C)CC=O	-0.0
C5H9O1-4OOH-2	CC1CC(CO1)OO	-0.0
CC5H10OOH-D	[CH2]C(OO)C(C)C	0.6
C5H9O1-2OOH-4	CC(CC1CO1)OO	0.0
B2E2M1OJ	CC=C(C)C[O]	-0.0
C3H51-2,3OOH	[CH2]C(COO)OO	-17.4
CHOCHO	O=CC=O	1.3
C6H101-3,3	C=CC(C)=CC	1.7
C6H10D24	CC=CC=CC	1.6
B12DE3M	C=C=C(C)C	0.0
NC5H11OH	CCCCCO	-0.6
HOCHCHO	[O]C=CO	-9.0
C5H92-1,5OOH	OOC[CH]CCCOO	0.0
C5H9O1-4OOH-5	OOCC1CCCO1	-0.0
C4H7O1-3OOH-2	CC1OCC1OO	0.6
C3H6OOH2-1O2	CC(CO[O])OO	-11.1
C5H93-2,4OOH	CC([CH]C(C)OO)OO	-0.0
C5H3O	O=C1[C]=CC=C1	0.0
C4H7O2-3OOH-1	CC1OC1COO	2.1
C5H10OH15	[CH2]CCCCO	-0.4
NC5KET25O	CC(=O)CCC[O]	0.0
C5H9O1-2OOH-5	OOCCCC1CO1	-0.0
C5H9O1-3OOH-5	OOCCC1CCO1	-0.0
C3H6OOH1-2O2	CC(COO)O[O]	-10.7
C3H5O1-3OOH-2	OOC1COC1	-0.0
TC3H6O2HCO	CC(C)([C]=O)OO	0.0
C-DC5H10O	CC(C)C1CO1	0.6
NC5KET25	CC(=O)CCCOO	0.0
C5H9O1-5OOH-3	OOC1CCOCC1	-0.0
TC3H6OCHO	CC(C)([O])C=O	-0.0
IIC4H7Q2-T	C[C](COO)COO	0.0
C5H9O2-4OOH-3	CC1OC(C)C1OO	-0.0
AC5H10OOH-C	C[CH]C(C)COO	0.6
AC5H10OOH-A	[CH2]C(CC)COO	0.6
SC4H8OH-3	C[CH]C(C)O	0.3
C5H10O1-5	C1CCOCC1	-0.0
IC5KETCDO	CC(C)C(=O)C[O]	-0.0
TC4H8O2H-I	[CH2]C(C)(C)OO	0.0
IQC4H8OT	CC(C)([O])COO	0.0
NC5KET12	CCCC(C=O)OO	0.0
CC5H10OOH-A	[CH2]C(C)C(C)OO	0.6
NC5KET21O	CCCC(=O)C[O]	0.0
NC53ONEO2-1	CCC(=O)CCO[O]	-12.2
IC5KETCD	CC(C)C(=O)COO	-0.0
C2H4O1-2	C1CO1	-0.9
NC52ONEO2-3	CCC(O[O])C(C)=O	-12.2
IC3H6CO	CC(C)=C=O	0.0
DC5H10OOH-A	[CH2]C(C)CCOO	0.6
C4H8O1-3	CC1CCO1	-4.9
C2CY(COC)OH	CC1(C)OC1O	-0.0
C4H8O2-3	CC1OC1C	0.3
PC4H8OH-1	CCC[CH]O	-0.1
C3KET12	CC(C=O)OO	-20.6
A-DC5H10O	CC1CCOC1	0.2
TIC4H7Q2-I	[CH2]C(C)(COO)OO	0.0
C4H6O2-1OOH4	[O]CC=CCOO	16.5
NEOC5H11O	CC(C)(C)C[O]	-0.0
C5H10OOH2-4	C[CH]CC(C)OO	-0.0
IC5KETCBO	CC(=O)C(C)(C)[O]	0.0
C4H64,2-1OH	C=C[CH]CO	2.7
IC5KETDCO	CC(C)C([O])C=O	0.6
IC4H8O2H-I	[CH2]C(C)COO	0.0
NC52ONEO2-5	CC(=O)CCCO[O]	-12.2
NC52ONEO2-4	CC(=O)CC(C)O[O]	-12.2
CH3CHCOC2H5	C[CH]C(=O)CC	-33.9
NC5KET23O	CCC([O])C(C)=O	0.0
CCYCCOOC-I2	CC1[CH]OOC1	0.0
CVCCVCCJVO	C=CC=C[C]=O	-0.0
NC5KET32	CCC(=O)C(C)OO	-0.0
NC4KET23	CC(=O)C(C)OO	3.7
C2HCHO	C#CC=O	-33.0
NC4KET21	CCC(=O)COO	18.8
NC4KET24	CC(=O)CCOO	1.8
HO2CH2CHO	O=CCOO	0.0
IC4KETIT	CC(C)(C=O)OO	0.0
C3H52-1,3OOH	OOC[CH]COO	-9.9
C8H132-6,PAO	CC=CCCC=CC[O]	2.8
NC4KET14	O=CCCCOO	4.5
NC4KET12	CCC(C=O)OO	20.3
NC4KET13	CC(CC=O)OO	3.1
CH3OCH2O2	COCO[O]	-0.0
DC5H10OOH-B	C[C](C)CCOO	1.8
C2H5COCH2	[CH2]C(=O)CC	6.1
CH3CHCOCH3	CC=C(C)[O]	-5.6
NEOC5H11O2H	CC(C)(C)COO	0.0
OCH2CHO	[O]CC=O	-12.0
C5H9O1-2O-5	[O]CCCC1CO1	-0.0
CH3NO	CN=O	70.8
CH2CH2OCH2CH2CHO	[O]C1CCOCC1	-0.0
DC5H10OOH-CO2	CC(C)C(COO)O[O]	0.6
CH2O2H	[CH2]OO	-0.0
HOCO	O=[C]O	1.4
CC5H10OOH-AO2	CC(CO[O])C(C)OO	0.6
DC5H10OOH-AO2	CC(CCOO)CO[O]	0.6
C5H10OH-5O2	[O]OCCCCCO	-8.7
HOCH2O2H	OCOO	6.6
AC5H10OOH-AO2	CCC(CO[O])COO	0.6
CCYCCO-T1	C[C]1CO1	-0.0
AC5H10OOH-CO2	CC(COO)C(C)O[O]	0.6
NEOC5H12	CC(C)(C)C	0.0
C5H9OH1-4	C=CCCCO	-1.4
TQC4H8OI	CC(C)(C[O])OO	0.0
CC5H10OOH-BO2	CC(OO)C(C)(C)O[O]	-11.6
DC5H10OOH-BO2	CC(C)(CCOO)O[O]	-11.6
CH2COHCHO	C=C(O)C=O	-26.5
NC53ONE-1	C=CC(=O)CC	-0.0
IC4H8OH	[CH2]C(C)CO	-24.4
BC5H10OOH-AO2	CCC(C)(CO[O])OO	-11.6
IIC4H7Q2-I	[CH2]C(COO)COO	-0.0
C4H71-1O2	CCC=CO[O]	-17.2
CH3CO3	CC(=O)O[O]	-20.5
CH3CO2	CC([O])=O	-27.2
IC4H8OOH-IO2	CC(CO[O])COO	0.0
NEOC5H11O2	CC(C)(C)CO[O]	-0.0
C5H9A-COOH	C=C(C)C(C)OO	0.0
C5H9A-DOOH	C=C(C)CCOO	0.0
C3H5O1-2OOH-3	OOCC1CO1	-4.1
C4H71-2O2	C=C(CC)O[O]	-31.8
C5H9A-B,DOOH	[CH2]C(C)(CCOO)OO	-11.6
C5H9A-B,COOH	[CH2]C(C)(OO)C(C)OO	-11.6
C5H9OA-DOOH-B	CC1(CCOC1)OO	-12.0
CH2CHOOHCOCH3	[CH2]C(OO)C(C)=O	7.2
C2H5COCH3	CCC(C)=O	0.3
CJVCCVCCVO	[CH]=CC=CC=O	-0.0
CH3CO3H	CC(=O)OO	0.0
NC5CYCPER13	CCC1CC(O)OO1	-5.5
CH2COHCO	C=C(O)[C]=O	-9.8
NEOC5H11	[CH2]C(C)(C)C	-0.0
NC5CYCPER31	CCC1(O)CCOO1	-24.0
C5H91-2,4OOH	[CH2]C(CC(C)OO)OO	0.0
C5H9D-A,BOOH	[CH2]CC(C)(COO)OO	-11.6
NC5KET31O	CCC(=O)CC[O]	-0.0
CH3CHOOCOCH3	CC(=O)C(C)O[O]	-5.0
IC5KETCAO	CC(=O)C(C)C[O]	-0.0
PC4H8CHO-1	CCC[CH]C=O	-1.7
C5H10OOH1-5O2	[O]OCCCCCOO	-0.0
AC5H10OOH-D	[CH2]CC(C)COO	0.6
PC3H4OH-3	C=C[CH]O	26.5
C5H9B-A,COOH	C[C](COO)C(C)OO	0.2
C4H8OOH2-4	[CH2]CC(C)OO	0.5
C5H93-1,5OOH	OOCC[CH]CCOO	0.0
C5H9O1-3OOH-4	CC(OO)C1CCO1	0.0
IC4H6OOH-I	[CH2]C(=C)COO	0.0
IC4H8OOH-TO2	CC(C)(COO)O[O]	0.0
PC4H8CHO-2	CC[CH]CC=O	-3.3
C2H3O1-2	[CH]1CO1	-2.8
NC53ONEO2-2	CCC(=O)C(C)O[O]	-12.2
C5H10OH12	CCC[CH]CO	5.6
C5H10OH13	CC[CH]CCO	-2.2
C5H9B-A,DOOH	C[C](CCOO)COO	0.2
C5H9OA-COOH-B	CC1OCC1(C)OO	-12.0
C5H9OB-COOH-A	CC1OC1(C)COO	0.4
CH3COCHOH	CC([O])=CO	-10.4
A-CC5H10O	CC1COC1C	0.2
C4H72-2O2	CC=C(C)O[O]	-30.0
NEO-C5H10O	CC1(C)COC1	-0.0
C5H9B-C,DOOH	C[C](C)C(COO)OO	0.2
C5H9A-C,DOOH	[CH2]C(C)C(COO)OO	0.6
C5H10OH-4O2	CC(CCCO)O[O]	-7.3
C4H72-1OH	CC=CCO	0.4
C7H111-5,1P	[CH]=CCCC=CC	-2.9
C5H9C-AOOH	C=CC(C)COO	-0.0
