// rate library for f09a: Disproportionation reaction
// original from rate_library_4.txt, Cath, 03/07/28

// JS, define key word for format of the rate: either Arrhenius or Arrhenius_EP
Arrhenius_EP

// f09a_Disproportionation
// changing root number into 3e11, 0, 0 according to Wing Tsang . J. Phys. Chem. Ref. Data 1991, 20, 221-273, JS, july 27, 2003
// add 10001 to give HO2. + R. -> O2 + HR, JS, july 27, 2003

// JS, Aug, 5, 2003
// move the following rate constants of O2 + XH_Rrad into the new reaction family: Disproportionation_O2d
// move #: 487, 501, 513, 514, 533, 534, 535

// JS, Apr, 4, 2004
// fix the redundancy problem for all the disp reaction to make the rate per H, details as following
// 487-489, 491-499, iso-C3H7, R = 6
// 490-500, C2H5 and CH3O, R = 3
// 502-512, n-C3H7, R = 2
// all others, R = 1

//  
//No.		Y_rad_birad	XH_Rrad		Temp.		A		N	a	E0	DA	Dn	Da	DE0	Rank
601.		O_pri_rad	C/H/NdNd_Csrad	300-2500	1.21E+13	0	0	0	*3.0	0	0	0	4
603.		H_rad		Cdpri_Csrad	300-2500	1.81E+13	0	0	0	*3.0	0	0	0	4
604.		C_methyl	Cdpri_Csrad	300-2500	3.01E+12	-0.32	0	-0.13	*3.0	0	0	0	4
605.		C_rad/H2/Cs	Cdpri_Csrad	300-2500	9.64E+11	0	0	-0.13	*2.0	0	0	0	4
606.		C_rad/H2/Cd	Cdpri_Csrad	300-2500	8.43E+10	0	0	-0.26	*2.5	0	0	0	4
607.		C_rad/H/NonDeC	Cdpri_Csrad	300-2500	4.58E+12	-0.35	0	-0.13	*3.0	0	0	0	4
608.		C_rad/Cs3	Cdpri_Csrad	300-2500	2.89E+13	-0.75	0	-0.13	*3.0	0	0	0	4
609.		Cd_pri_rad	Cdpri_Csrad	300-2500	2.41E+12	0	0	0	*3.0	0	0	0	4
610.		O_pri_rad	Cdpri_Csrad	300-2500	6.03E+12	0	0	0	*3.0	0	0	0	4
614.		O_atom_triplet	O_Csrad		298		9.04E+13	0	0	0	*1.5	0	0	0	3
615.		CH2_triplet	O_Csrad		300-2500	1.21E+12	0	0	0	*3.0	0	0	0	4
616.		H_rad		O_Csrad		295		2.0E+13		0	0	0	*2.0	0	0	0	4
617.		H_rad		O_Csrad		300-2500	6.03E+12	0	0	0	*2.0	0	0	0	4
618.		C_methyl	O_Csrad		298		8.49E+13	0	0	0	0	0	0	0	3
619.		C_methyl	O_Csrad		300-2500	2.41E+12	0	0	0	*5.0	0	0	0	4
620.		C_rad/H2/Cs	O_Csrad		300-2500	2.41E+12	0	0	0	*5.0	0	0	0	4
621.		C_rad/H2/Cd	O_Csrad		300-2500	1.81E+13	0	0	0	*2.5	0	0	0	4
622.		C_rad/H2/O	O_Csrad		300-2500	4.82E+12	0	0	0	*2.0	0	0	0	4
623.		C_rad/H/NonDeC	O_Csrad		300-2500	2.35E+12	0	0	0	*5.0	0	0	0	4
624.		C_rad/Cs3	O_Csrad		300-2500	6.91E+14	-0.75	0	0	*2.0	0	0	0	4
625.		Cd_pri_rad	O_Csrad		300-2500	3.01E+13	0	0	0	*2.5	0	0	0	4
626.		Ct_rad		O_Csrad		300-2500	3.61E+13	0	0	0	*5.0	0	0	0	4
627.		CO_pri_rad	O_Csrad		300-2500	1.81E+14	0	0	0	*3.0	0	0	0	4
628.		O_pri_rad	O_Csrad		300-2500	2.41E+13	0	0	0	*2.0	0	0	0	4
629.		O_rad/NonDeC	O_Csrad		300-2500	2.41E+13	0	0	0	*2.0	0	0	0	4
630.		O_rad/NonDeO	O_Csrad		300-2500	1.21E+13	0	0	0	*2.0	0	0	0	4
10001		Y_rad		O_Orad		300-1500	3E+11		0	0	0	0	0	0	0	0

