// rate library for f02: Radical addition to multiple bond
// original from rate_library_4.txt, Cath, 03/07/28

// JS, define key word for format of the rate: either Arrhenius or Arrhenius_EP
Arrhenius_EP

//f02_Radical_Addition
//No.		XZ				Y_rad			Temp.		A			N		a	E0		DA		Dn		Da	DE0		Rank	Comments
299.		Cd/H2_Cd/H/Nd	C_rad/H2/Cd		762-811		3.55E+11	0		0	16.89	0		0		0	0		4		Barbe et al. [151] Data are estimated.
300.		Cd/H2_Cd/H/Nd	C_rad/Cs3		300-2500	3.07E+09	0		0	5.88	*10.0		0		0	0		4		Tsang [93] literature review.
301.		Cd/H2_Cd/H/De	C_methyl		743-772		3.155E+10	0		0	7.49	0		0		0	0		5		Perrin et al. [152] Data are estimated.
302.		Cd/H2_Cd/Nd2	H_rad			712-779		6.21E+12	0.25	0	1.46	0		0		0	0		4		Knyazev et al. [153]
303.		Cd/H2_Cd/Nd2	C_methyl		391-449		2.51E+11	0		0	6.70	0		0		0	0		4		Seres et al. [154] Data derived from fitting a complex mechanism.
304.		Cd/H/Nd_Cd/H2	H_rad			500-2500	1.3E+13		0		0	3.26	0		0		0	0		4		Tsang [149] experiments and limited review. 
305.		Cd/H/Nd_Cd/H2	C_methyl		298-1500	1.0E+04		2.57	0	7.71	0		0		0	0		4		Knyazev et al. [147]
306.		Cd/H/Nd_Cd/H2	C_methyl		300-2500	9.64E+10	0		0	8.01	*3.0	0		0	0		4		Tsang [93] literature review.
307.		Cd/Nd2_Cd/H2	C_methyl		560-650		2.23E+11	0		0	10.59	0		0		0	0		5		Slagle et al. [155] Data derived from detailed balance/reverse rate.
308.		Cd/H2_Ca		H_rad			300-1500	1E+13		0		0	1.2		0		0		0	0		5		Curran et al. [8] in his reaction type 3. Based on recommendations of Allara and Shaw [146] 
309.		Cd/H/Nd_Ca		H_rad			300-1500	1E+13		0		0	2.9		0		0		0	0		5		Curran et al. [8] in his reaction type 3. Based on recommendations of Allara and Shaw [146] 
310.		Cd/Nd2_Ca		H_rad			300-1500	1E+13		0		0	2.9		0		0		0	0		5		Curran et al. [8] in his reaction type 3. Based on recommendations of Allara and Shaw [146] 
311.		Cd/H2_Ca		Cs_rad			300-1500	8.5E+10		0		0	7.8		0		0		0	0		5		Curran et al. [8] in his reaction type 3. Based on recommendations of Allara and Shaw [146] 
312.		Cd/H/Nd_Ca		Cs_rad			300-1500	8.5E+10		0		0	10.6	0		0		0	0		5		Curran et al. [8] in his reaction type 3. Based on recommendations of Allara and Shaw [146] 
313.		Cd/Nd2_Ca		Cs_rad			300-1500	8.5E+10		0		0	10.6	0		0		0	0		5		Curran et al. [8] in his reaction type 3. Based on recommendations of Allara and Shaw [146] 
314.		Cd/H2_Ca		C_methyl		573-595		5.75E+10	0		0	6.84	0		0		0	0.20	5		Scherzer et al. [156] Data derived from fitting a complex mechanism.
315.		Ca_Cd/H2		H_rad			350-1200	1.2E+11		0.69	0	3.00	*2.5	0		0	0		4		Tsang et al. [157]
316.		Ca_Cd/H2		C_methyl		996-1180	1.58E+11	0		0	4.97	0		0		0	0		5		Tsang [158] Data is estimated.
317.		CO_O			H_rad			300-1500	1.0E+11		0		0	11.9	0		0		0	0		5		Curran et al. [8] in his reaction type 18.
318.		CO_O			Cs_rad			300-1500	1.0E+11		0		0	11.9	0		0		0	0		5		Curran et al. [8] in his reaction type 18.
319.		CO_O			CO_pri_rad		300-1500	5.2E+11		0		0	6.560	0		0		0	0		4		Bozzelli et al. [144] based on CH3 addition to CO (Anastasi and Maw)
320.		CO_O			O_rad/OneDe		300-1500	1.3E+11		0		0	7.4		0		0		0	0		5		Curran esitmation [159] in DME oxidation modeling for ketohydroperoxide decomposition.
321.		CO/H2_O			C_rad/H2/Cs		333-363		7.94E+10	0		0	6.70	0		0		0	0.47	5		Knoll et al. [160] Data derived from fitting a complex mechanism.
322.		CO/Nd2_O		C_methyl		413-563		3.16E+10	0		0	11.51	0		0		0	1.15	3		Knoll et al. [161]
323.		Ct/H_Ct/H		H_rad			300-2000	2.75E+12	0		0	2.42	0		0		0	0		4		Warnatz [134] literature review.
324.		Ct/H_Ct/H		C_methyl		370-478		1.875E+11	0		0	7.77	0		0		0	0		4		E.W. Diau and M.C. Lin [162] RRK(M) extrapolation.
325.		Ct/H_Ct/H		C_rad/H2/Cs		373-473		2.505E+10	0		0	6.99	0		0		0	0		4		Kerr et al. [163] literature review.
326.		Ct/H_Ct/H		C_rad/H2/Cd		300-2500	1.595E+10	0		0	6.96	*10.0	0		0	0		4		Tsang [93] literature review.
327.		Ct/H_Ct/H		C_rad/H/NonDeC	363-577		2.505E+10	0		0	6.90	0		0		0	0		5		Kerr et al. [163] literature review.
328.		Ct/H_Ct/H		C_rad/Cs3		373-493		2.505E+10	0		0	5.31	0		0		0	0		4		Dominguez et al. [164] Data derived from fitting a complex mechanism.
329.		Ct/H_Ct/H		Cd_pri_rad		300-1500	1.255E+05	1.90	0	2.11	0		0		0	0		3		Weissman et al. [121] Transition state theory.
330.		Ct/H_Ct/H		Cd_pri_rad		700-1300	3.155E+11	0		0	4.9	    0		0		0	0		3		Duran et al. [165] Ab initio.
331.		Ct/H_Ct/H		Ct_rad			700-1300	5.0E+12		0		0	0		0		0		0	0		3		Duran et al. [165] Ab initio.
332.		Ct/H_Ct/H		O_pri_rad		298-1100	6.05E+11	0		0	0.46	*10.0	0		0	0		4		Baulch et al. [95] literature review.
333.		Ct/H_Ct/H		O_pri_rad		250-2500	7.60E+07	1.70	0	1.00	0		0		0	0		3		Miller et al. [166] Transition state theory.
334.		Ct/H_Ct/H		O_sec_rad		300-1500	5.2E+11		0		0	7.9		0		0		0	0		4		Bozzelli et al. [144] based on CH3 addition to C2H2 (NIST)
335.		Cd/H2_Cd/H2		C_methyl		300-1500	9.69E+12	0		0	9.0		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
336.		Cd/H2_Cd/H2		C_rad/H2/Cs		300-1500	2.94E+11	0		0	8.2		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
337.		Cd/H2_Cd/H2		C_rad/H2/Cs		300-1500	3.78E+11	0		0	8.0		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
338.		Cd/H2_Cd/H2		C_rad/H2/Cs		300-1500	2.92E+11	0		0	7.6		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
339.		Cd/H2_Cd/H2		C_rad/H2/Cs		300-1500	2.58E+11	0		0	8.3		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
340.		Cd/H2_Cd/H2		C_rad/H2/Cs		300-1500	1.10E+11	0		0	7.6		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
341.		Cd/H2_Cd/H2		C_rad/H/NonDeC	300-1500	1.73E+11	0		0	7.0		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
342.		Cd/H2_Cd/H2		C_rad/Cs3		300-1500	2.41E+11	0		0	5.5		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
343.		Cd/H2_Cd/H2		C_rad/Cs3		300-1500	2.05E+09	0		0	5.3		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
344.		Cd/H2_Cd/H2		C_rad/Cs3		300-1500	8.54E+09	0		0	7.4		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
345.		Cd/H2_Cd/H2		C_rad/H2/Cd		300-1500	7.15E+11	0		0	14.4	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
346.		Cd/H2_Cd/H2		C_rad/H2/Cd		300-1500	5.44E+11	0		0	14.6	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
347.		Cd/H2_Cd/H2		C_rad/H/OneDeC	300-1500	2.38E+11	0		0	14.0	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
348.		Cd/H2_Cd/H2		C_rad/H/TwoDe	300-1500	1.08E+12	0		0	20.0	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
349.		Cd/H2_Cd/H2		C_rad/Cs2		300-1500	3.83E+10	0		0	13.1	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
350.		Cd/H2_Cd/H2		C_rad/Cs		300-1500	3.78E+10	0		0	19.3	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
351.		Cd/H2_Cd/H2		C_rad/H2/Cb		300-1500	6.64E+11	0		0	11.9	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
352.		Cd/H2_Cd/H2		C_rad/H2/Ct		300-1500	1.25E+12	0		0	12.0	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
353.		Cd/H2_Cd/H2		C_rad/H/OneDeC	300-1500	1.36E+11	0		0	11.4	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
354.		Cd/H2_Cd/H2		C_rad/Cs2		300-1500	7.00E+10	0		0	10.8	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
355.		Cd/H2_Cd/H2		Cd_pri_rad		300-1500	2.09E+13	0		0	5.2		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
356.		Cd/H2_Cd/H2		Cd_rad/NonDe	300-1500	7.24E+12	0		0	4.5		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
357.		Cd/H2_Cd/H2		Cb_rad			300-1500	1.68E+13	0		0	2.7		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
358.		Cd/H2_Cd/H2		C_methyl		300-1500	9.69E+12	0		0	9.0		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
359.		Cd/H2_Cd/H/Nd	C_methyl		300-1500	3.10E+12	0		0	8.5		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
360.		Cd/H2_Cd/H/Nd	C_methyl		300-1500	2.22E+12	0		0	8.4		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
361.		Cd/H2_Cd/Nd2	C_methyl		300-1500	3.99E+12	0		0	8.0		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
362.		Cd/H2_Cd/H/De	C_methyl		300-1500	7.30E+12	0		0	5.7		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
363.		Ca_Cd/H/Nd		C_methyl		300-1500	7.59E+12	0		0	9.8		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
364.		Cd/H2_Cd/Nd/De	C_methyl		300-1500	4.12E+12	0		0	5.2		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
365.		Ca_Cd/Nd2		C_methyl		300-1500	1.86E+13	0		0	8.8		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
366.		Ct/H_Ct/H		C_methyl		300-1500	4.06E+13	0		0	9.9		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
367.		Ct/H_Ct/Nd		C_methyl		300-1500	1.32E+14	0		0	10.3	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
368.		Cd/H2_Ca		C_methyl		300-1500	9.23E+12	0		0	9.4		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
369.		Cd/H2_Cd/H/De	C_methyl		300-1500	4.18E+11	0		0	7.4		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
370.		Cd/H2_Cd/De2	C_methyl		300-1500	5.58E+12	0		0	3.5		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
371.		Cd/H2_Cd/H/De	C_methyl		300-1500	4.37E+12	0		0	5.5		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
372.		Ct/H_Ct/De		C_methyl		300-1500	1.19E+13	0		0	7.1		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
373.		Cd/H2_Cd/Nd/De	C_methyl		300-1500	4.32E+12	0		0	5.3		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
374.		Cd/H/Nd_Cd/H2	C_methyl		300-1500	1.36E+12	0		0	10.1	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
375.		Cd/H/Nd_Cd/H2	C_methyl		300-1500	6.42E+11	0		0	11.1	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
376.		Cd/H/Nd_Cd/H2	C_methyl		300-1500	6.24E+11	0		0	11.2	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
377.		Cd/Nd2_Cd/H2	C_methyl		300-1500	1.12E+12	0		0	11.2	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
378.		Cd/Nd2_Cd/H2	C_methyl		300-1500	1.51E+11	0		0	12.5	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
379.		Cd/H/De_Cd/H2	C_methyl		300-1500	2.43E+12	0		0	10.2	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
380.		Cd/Nd/De_Cd/H2	C_methyl		300-1500	5.92E+11	0		0	11.2	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
381.		Ct/Nd_Ct/H		C_methyl		300-1500	1.99E+13	0		0	12.1	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
382.		Cd/H/De_Cd/H2	C_methyl		300-1500	1.24E+11	0		0	11.1	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
383.		Cd/H/De_Cd/H2	C_methyl		300-1500	1.36E+12	0		0	9.7		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
384.		Ct/De_Ct/H		C_methyl		300-1500	4.49E+12	0		0	11.7	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
385.		Ct/De_Ct/H		C_methyl		300-1500	1.71E+13	0		0	11.4	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
386.		Cd/Nd/De_Cd/H2	C_methyl		300-1500	6.07E+11	0		0	11.0	0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
387.		Cd/H2_Cd/H2		H_rad			300-1500	7.74E+13	0		0	2.8		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.		
388.		Cd/H2_Cd/H/Nd	H_rad			300-1500	2.01E+13	0		0	2.1		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
389.		Cd/H2_Cd/Nd2	H_rad			300-1500	4.94E+13	0		0	1.5		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
390.		Cd/H2_Cd/H/De	H_rad			300-1500	3.71E+13	0		0	1.0		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.		
391.		Cd/H2_Cd/Nd/De	H_rad			300-1500	2.13E+13	0		0	0.5		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
392.		Cd/H2_Cd/H/De	H_rad			300-1500	1.97E+12	0		0	3.2		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
393.		Cd/H2_Cd/Nd/De	H_rad			300-1500	1.43E+13	0		0	2.5		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
394.		Ct/H_Ct/H		H_rad			300-1500	1.16E+14	0		0	3.8		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
395.		Ct/H_Ct/Nd		H_rad			300-1500	1.12E+14	0		0	3.7		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
396.		Cd/H2_Ca		H_rad			300-1500	6.68E+13	0		0	2.9		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
397.		Cd/H2_Ca		H_rad			300-1500	2.73E+13	0		0	2.6		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
398.		Cd/H2_Cd/H/De	H_rad			300-1500	1.82E+13	0		0	1.4		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
399.		Cd/H2_Cd/Nd/De	H_rad			300-1500	2.04E+13	0		0	1.0		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
400.		Ct/H_Ct/De		H_rad			300-1500	1.86E+13	0		0	2.3		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
401.		Ct/H_Ct/De		H_rad			300-1500	1.69E+13	0		0	2.2		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
402.		Ct/H_Ct/De		H_rad			300-1500	1.07E+14	0		0	2.1		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
403.		Ca_Cd/H/Nd		H_rad			300-1500	1.28E+13	0		0	3.7		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
404.		Ca_Cd/Nd2		H_rad			300-1500	2.57E+13	0		0	2.7		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
405.		Cd/H/Nd_Cd/H2	H_rad			300-1500	1.18E+13	0		0	3.8		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
406.		Cd/Nd2_Cd/H2	H_rad			300-1500	1.17E+13	0		0	4.7		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
407.		Cd/H/De_Cd/H2	H_rad			300-1500	2.85E+13	0		0	4.3		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
408.		Cd/Nd/De_Cd/H2	H_rad			300-1500	9.30E+12	0		0	5.2		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
409.		Ct/Nd_Ct/H		H_rad			300-1500	5.77E+13	0		0	5.3		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
410.		Cd/H/De_Cd/H2	H_rad			300-1500	1.67E+12	0		0	6.0		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
411.		Cd/Nd/De_Cd/H2	H_rad			300-1500	5.62E+12	0		0	6.5		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
412.		Cd/H/De_Cd/H2	H_rad			300-1500	1.33E+13	0		0	4.6		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
413.		Cd/Nd/De_Cd/H2	H_rad			300-1500	8.20E+12	0		0	5.8		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
414.		Ct/De_Ct/H		H_rad			300-1500	2.25E+13	0		0	5.4		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
415.		Ct/De_Ct/H		H_rad			300-1500	9.99E+13	0		0	6.0		0		0		0	0		3		Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment.
//416 Added by sandeep taken from the stufy of 1,3-Hexadiene dont at CBS-QB3 level
416		Cd/H2_Cd/H2	Cd_pri_rad-Cd/Cd		300-1600	149.0295	3.0074	0	10.1708 0		0		0	0		3		Sandeep CBS-QB3 calculations
