
// rate library for f06: radical recombination
// Originally from rate_library_4.txt, Cath, 03/07/28

// jing, define key word for format of the rate: either Arrhenius or Arrhenius_EP
Arrhenius_EP

// Catherina Wijaya thesis pg 156
//f06_radical_recombination

//No.		Y_rad			Y_rad			Temp.		A			n	a		E0		DA		Dn		Da		DE0		Rank	Comments
//441.		C_methyl		C_rad/Cs3		300-2500	1.63E+13	0		0		-0.60	*2.0	0		0		0		4	Tsang [92] literature review.
//487.		O2_birad		Ct_rad			300-1500	3.0E+12	0	0	0	0		0	0	0	0	estimated to be the same as Cd_pri_rad + O2.


//#  Group1             Group2                TempRange         A        n    alpha       E0       DA       Dn   Dalpha      DE0  Rank  Comment
26   C_rad/H2/Cs          C_rad/H2/Cs            300-1200  1.15e+13        0        0        0       *2        0        0        0  4     Baulch et al. [95] literature review.
27   C_rad/H2/Cs          C_rad/H/NonDeC         300-2500  1.15e+14    -0.35        0        0       *2        0        0        0  4     Tsang [91] literature review.
28   C_rad/H2/Cs          C_rad/Cs3              300-2500  6.91e+14    -0.75        0        0       *2        0        0        0  4     Tsang [92] literature review.
29   C_rad/H2/Cs          CO_pri_rad             300-2500  1.81e+13        0        0        0       *3        0        0        0  4     Tsang [89] literature review.
30   C_rad/H2/Cs          CO_rad/NonDe           300-2500  3.12e+14     -0.5        0        0       *3        0        0        0  4     Tsang [89] literature review.
31   C_rad/H2/Cs          O_pri_rad              200-400    7.7e+13        0        0        0    1e+13        0        0        0  4     Fagerstrom et al. [180]
32   C_rad/H/NonDeC       C_rad/H/NonDeC         300-2500  3.25e+14     -0.7        0        0       *2        0        0        0  4     Tsang [91] literature review.
33   C_rad/H/NonDeC       C_rad/Cs3              300-2500  4.12e+15     -1.1        0        0     *1.5        0        0        0  4     Tsang [92] literature review.
34   C_rad/H/NonDeC       CO_rad/NonDe           300-2500  6.64e+13    -0.35        0        0       *2        0        0        0  4     Tsang [91] literature review.
35   C_rad/H/NonDeC       O_rad/NonDe            300-2500  6.03e+12        0        0        0       *5        0        0        0  4     Tsang [91] literature review.
36   C_rad/Cs3            C_rad/Cs3              300-2500  1.24e+16     -1.5        0        0       *2        0        0        0  4     Tsang [92] literature review.
37   C_rad/Cs3            CO_pri_rad             300-2500  1.21e+13        0        0        0       *5        0        0        0  4     Tsang [92] literature review.
38   C_rad/Cs3            CO_rad/NonDe           300-2500  7.75e+14    -0.75        0        0       *2        0        0        0  4     Tsang [92] literature review.
39   C_rad/Cs3            O_rad/NonDe            300-2500  9.04e+12        0        0        0       *3        0        0        0  4     Tsang [92] literature review.
40   Cd_pri_rad           Cd_pri_rad                298    7.23e+13        0        0        0  1.2e+13        0        0        0  4     Fahr et al. [171]
41   Cd_pri_rad           Ct_rad                 700-1300     1e+14        0        0        0        0        0        0        0  3     Duran et al. [165]
42   Cd_pri_rad           CO_pri_rad             300-2500  1.81e+13        0        0        0       *3        0        0        0  4     Tsang [89] literature review.
43   Cb_rad               Cb_rad                1100-1400   5.7e+12        0        0        0        0        0        0        0  3     Heckmann et al. [124]
44   Cb_rad               Cb_rad                 300-500   1.39e+13        0        0     0.11  1.1e+12        0        0    0.072  3     Park et al. [181]
45   CO_pri_rad           CO_pri_rad                298    1.51e+13        0        0        0 6.02e+12        0        0        0  3     Stoeckel et al. [182]
46   CO_pri_rad           CO_rad/NonDe           300-2500  1.81e+13        0        0        0       *3        0        0        0  4     Tsang [89] literature review.
47   CO_rad/NonDe         CO_rad/NonDe           300-2500  1.21e+13        0        0        0       *2        0        0        0  4     Tsang [89] literature review.
48   O_pri_rad            O_pri_rad              200-400   1.57e+13        0        0        0 6.02e+12      0.5        0        0  4     DeMore et al. [183] literature review.
49   O_rad/NonDe          O_rad/NonDe            300-2500  1.81e+12        0        0        0       *5        0        0        0  4     Tsang [89] literature review.
50   H_rad                Cs_rad                 300-1500     5e+13        0        0        0        0        0        0        0  5     Curran's [8] estimation.
51   C_methyl             C_ter_rad              300-1500  1.63e+13        0        0    0.596        0        0        0        0  5     Curran's [8] estimation.
52   C_methyl             C_sec_rad              300-1500   6.8e+14    -0.68        0        0        0        0        0        0  5     Curran's [8] estimation.
53   C_pri_rad            C_sec_rad              300-1500  4.79e+14    -0.75        0        0        0        0        0        0  5     Curran's [8] estimation.
54   C_pri_rad            C_ter_rad              300-1500  3.59e+14    -0.75        0        0        0        0        0        0  5     Curran's [8] estimation.
55   O_pri_rad            O_sec_rad              300-1500     2e+13        0        0        0        0        0        0        0  5     Curran's [159] estimation.
56   O2_birad             H_rad                  298-6000   4.4e+10        1        0     0.45        0        0        0        0  4     Duchovic et al. [142] RRK(M) extrapolation. Probably could do better.
57   O2_birad             H_rad                  300-1500  8.15e+12        0        0     0.76        0        0        0        0  3     Cobos, C.J and Troe, J. [106] Transition state theory.
58   O2_birad             C_methyl               300-1500  2.26e+12        0        0        0  4.2e+11        0        0        0  5     Curran et al. [8] From Lenhardt et al. [143]. (Measured at 300K) (n-butyl not methyl)
59   O2_birad             C_pri_rad              300-1500  2.26e+12        0        0        0  4.2e+11        0        0        0  5     Curran et al. [8] From Lenhardt et al. [143]. (Measured at 300K)
60   O2_birad             C_sec_rad              300-1500  3.77e+12        0        0        0    1e+12        0        0        0  5     Curran et al. [8]. (Estimated at 300K)
61   O2_birad             C_ter_rad              300-1500  7.05e+12        0        0        0 1.17e+12        0        0        0  5     Curran et al. [8] From Lenhardt et al. [143]. (Measured at 300K)
62   O2_birad             Cd_pri_rad             300-1500     3e+12        0        0        0        0        0        0        0  4     Bozzelli et al. [144] RRKM extrapolation ( adjusted to match data).
63   O2_birad             Cb_rad                 297-473   3.02e+12        0        0     0.32     *1.2        0        0     0.13  3     Yu, T. and Lin, M.C. [145]
64   O2_birad             CO_pri_rad             300-2500   3.5e+12        0        0        0        0        0        0        0  4     Bozzelli et al. [144] RRKM extrapolation.
65   O2_birad             CO_rad/NonDe           200-300   1.50e+12        0        0        0    *3.16        0        0        0  4     Atkinson et al [96] literature review.
