H2O2	OO
OH	[OH]
H2	[H][H]
H	[H]
O	[O]
H2O	O
HO2	[O]O
O2	[O][O]
AR	[Ar]
N2	N#N
HE	[He]
OHV	[OH]
CO	[C]=O
CO2	O=C=O
CH4	C
CH3	[CH3]
C	[C]
CH	[CH]
CHV	[CH]
CH3OH	CO
C2H6	CC
C2H5	C[CH2]
C2H4	C=C
C2H	[C]#C
C3H8	CCC
C2H2	C#C
CH3OCH3	COC
O3	[O-][O+]=O
N	[N]
NO2	O=N[O]
C4H3-N	[CH]=CC#C	! Confirmed by alongd
C2H5OH	CCO	! Confirmed by alongd
C4H72-1OOH	CC=CCOO	! Confirmed by alongd
IC3H6CHO	[CH2]C(C)C=O	! Confirmed by alongd
SC3H5CHO	CC=CC=O	! Confirmed by alongd
C5H9O1-3	C=CC([O])CC	! Confirmed by alongd
C8H132-6,SAO	CC=CCC([O])C=CC	! Confirmed by alongd
C8H131-5,3,SAO	C=CC(C)C([O])C=CC	! Confirmed by alongd
CH2CHCHCHO	[CH2]C=CC=O	! Confirmed by alongd
PC4H9	[CH2]CCC	! Confirmed by alongd
CVCCVCCJ	[CH2]C=CC=C	! Confirmed by alongd
PC2H4OH	[CH2]CO	! Confirmed by alongd
C5H11-2	C[CH]CCC	! Confirmed by alongd
AC3H5OOH	C=CCOO	! Confirmed by alongd
C5H11O2-2	CCCC(C)O[O]	! Confirmed by alongd
CH3COCH2	[CH2]C(C)=O	! Confirmed by alongd
CH3CHO	CC=O	! Confirmed by alongd
SC4H9O2	CCC(C)O[O]	! Confirmed by alongd
C4H2	C#CC#C	! Confirmed by alongd
C4H71-3OOH	C=CC(C)OO	! Confirmed by alongd
H2CNO2	[N+](=O)([CH2])[O-]	! Confirmed by alongd
C2H3OH	C=CO	! Confirmed by alongd
C4H71-4O2	C=CCCO[O]	! Confirmed by alongd
C5H10OOH2-3	CC[CH]C(C)OO	! Confirmed by alongd
C5H10OOH2-1	[CH2]C(CCC)OO	! Confirmed by alongd
C4H8OOH2-1	[CH2]C(CC)OO	! Confirmed by alongd
CH2CH2CH2COCH3	[CH2]CCC(C)=O	! Confirmed by alongd
C2H5O2	CCO[O]	! Confirmed by alongd
CC3H6	C1CC1	! Confirmed by alongd
C4H71-4OOH	C=CCCOO	! Confirmed by alongd
CH2CHO	[CH2]C=O	! Confirmed by alongd
CH3CO	C[C]=O	! Confirmed by alongd
SC4H9O	CCC(C)[O]	! Confirmed by alongd
C4H71-O	C=CC(C)[O]	! Confirmed by alongd
CH2CO	C=C=O	! Confirmed by alongd
SC4H9O2H	CCC(C)OO	! Confirmed by alongd
CH2(S)	[CH2]	! Confirmed by alongd
HOCHO	O=CO	! Confirmed by alongd
AC5H9-D	[CH2]CC(=C)C	! Confirmed by alongd
NC5H12	CCCCC	! Confirmed by alongd
NC3H7COCH3	CCCC(C)=O	! Confirmed by alongd
DC5H11	[CH2]CC(C)C	! Confirmed by alongd
IC4H10	CC(C)C	! Confirmed by alongd
IC4H7	[CH2]C(=C)C	! Confirmed by alongd
CC5H11	C[CH]C(C)C	! Confirmed by alongd
DC5H11O2	CC(C)CCO[O]	! Confirmed by alongd
PC4H9CHO	CCCCC=O	! Confirmed by alongd
C5H10OOH2-1O2	CCCC(CO[O])OO	! Confirmed by alongd
O2CHO	[O]OC=O	! Confirmed by alongd
IC5H12	CCC(C)C	! Confirmed by alongd
HCCO	C#C[O]	! Confirmed by alongd
SC2H4OH	C[CH]O	! Confirmed by alongd
C5H10OOH2-3O2	CCC(O[O])C(C)OO	! Confirmed by alongd
HCCOH	C#CO	! Confirmed by alongd
DC5H11O	CC(C)CC[O]	! Confirmed by alongd
IC3H5OH	C=C(C)O	! Confirmed by alongd
C2H5O2H	CCOO	! Confirmed by alongd
CC5H11O2	CC(C)C(C)O[O]	! Confirmed by alongd
DC5H11O2H	CC(C)CCOO	! Confirmed by alongd
CC5H11O2H	CC(C)C(C)OO	! Confirmed by alongd
O2C2H4OH	[O]OCCO	! Confirmed by alongd
CH3OCHO	COC=O	! Confirmed by alongd
C5H11O2H-2	CCCC(C)OO	! Confirmed by alongd
CVCCJCVC	[CH2]C=CC=C	! Confirmed by alongd
NH	[NH]	! Confirmed by alongd
CJVCCVO	[CH]=CC=O	! Confirmed by alongd
HO2CHO	O=COO	! Confirmed by alongd
C5H11-3	CC[CH]CC	! Confirmed by alongd
C5H11-1	[CH2]CCCC	! Confirmed by alongd
CH2OCHO	[CH2]OC=O	! Confirmed by alongd
CH3OCO	CO[C]=O	! Confirmed by alongd
NC5KET24O	CC(=O)CC(C)[O]	! Confirmed by alongd
BC5H10	CC=C(C)C	! Confirmed by alongd
IC3H5OOCH2	[CH2]OOC(=C)C	! Confirmed by alongd
IC5KETDBO	CC(C)([O])CC=O	! Confirmed by alongd
AC5H10	C=C(C)CC	! Confirmed by alongd
NC5KET13O	CCC([O])CC=O	! Confirmed by alongd
OCHO	[O]C=O	! Confirmed by alongd
C4H61-3OOH4	C=C[CH]COO	! Confirmed by alongd
CC5H11O	CC(C)C(C)[O]	! Confirmed by alongd
NC3H7COCH2	[CH2]C(=O)CCC	! Confirmed by alongd
C5H11O-1	CCCCC[O]	! Confirmed by alongd
C5H9O2-4	CC=CC(C)[O]	! Confirmed by alongd
PC4H9O	CCCC[O]	! Confirmed by alongd
C5H9O24-1	[CH2]C1CC(C)O1	! Confirmed by alongd
IC5KETDAO	CC(C[O])CC=O	! Confirmed by alongd
C4H6-1	C#CCC	! Confirmed by alongd
NC3H7CHO	CCCC=O	! Confirmed by alongd
C4H72-1,3OOH	CC([CH]COO)OO	! Confirmed by alongd
OCH2OCHO	[O]COC=O	! Confirmed by alongd
O2CH2CHO	[O]OCC=O	! Confirmed by alongd
NC5KET14O	CC([O])CCC=O	! Confirmed by alongd
H15DE25DM	C=C(C)CCC(=C)C	! Confirmed by alongd
C4H72-1OOCH3	CC=CCOOC	! Confirmed by alongd
IC5KETADO	CC(C=O)CC[O]	! Confirmed by alongd
B13DE2M	C=CC(=C)C	! Confirmed by alongd
CH3OCH2O	COC[O]	! Confirmed by alongd
BC5H11O2	CCC(C)(C)O[O]	! Confirmed by alongd
AC5H9-C	C=C(C)[CH]C	! Confirmed by alongd
AC5H11	[CH2]C(C)CC	! Confirmed by alongd
BC5H11	CC[C](C)C	! Confirmed by alongd
IC4H9	[CH2]C(C)C	! Confirmed by alongd
TC4H9	C[C](C)C	! Confirmed by alongd
C4H3-I	C#C[C]=C	! Confirmed by alongd
C5H11O-2	CCCC(C)[O]	! Confirmed by alongd
CC5H9-B	C=C[C](C)C	! Confirmed by alongd
BC5H11O	CCC(C)(C)[O]	! Confirmed by alongd
CH2OCH2CHO	[O]CCC=O	! Confirmed by alongd
C4H8OOH1-3O2	CC(CCOO)O[O]	! Confirmed by alongd
PC4H9O2	CCCCO[O]	! Confirmed by alongd
HO2CH2CO	O=[C]COO	! Confirmed by alongd
HOCH2OCO	O=[C]OCO	! Confirmed by alongd
BC5H11O2H	CCC(C)(C)OO	! Confirmed by alongd
C4H8OOH2-4O2	CC(CCO[O])OO	! Confirmed by alongd
AC5H9O-C	C=C(C)C(C)[O]	! Confirmed by alongd
IC4H9O	CC(C)C[O]	! Confirmed by alongd
C5H11O2-1	CCCCCO[O]	! Confirmed by alongd
CC5H9O-B	C=CC(C)(C)[O]	! Confirmed by alongd
TC4H9O	CC(C)(C)[O]	! Confirmed by alongd
C5H6	C1C=CCC=1	! Confirmed by alongd
C4H71-3OOCH3	C=CC(C)OOC	! Confirmed by alongd
AC5H11O	CCC(C)C[O]	! Confirmed by alongd
C2H3OOH	C=COO	! Confirmed by alongd
C4H7O1-2OOH-3	CC(OO)C1CO1	! Confirmed by alongd
CH3COCH2O	CC(=O)C[O]	! Confirmed by alongd
C5H11O-3	CCC([O])CC	! Confirmed by alongd
C5H91-2,3OOH	[CH2]C(OO)C(CC)OO	! Confirmed by alongd
C5H91-4,5OOH	[CH2]CCC(COO)OO	! Confirmed by alongd
SC2H2OH	C=[C]O	! Confirmed by alongd
CH3CHCH2COCH3	C[CH]CC(C)=O	! Confirmed by alongd
C5H9O1-3OOH-2	CCC1OCC1OO	! Confirmed by alongd
IC3H5CHO	C=C(C)C=O	! Confirmed by alongd
C6H5OO	[O]OC1C=CC=CC=1	! Confirmed by alongd
CC5H10OOH-B	C[C](C)C(C)OO	! Confirmed by alongd
BC5H10OOH-A	[CH2]C(C)(CC)OO	! Confirmed by alongd
C5H9O1-5OOH-2	OOC1CCCOC1	! Confirmed by alongd
H15DE2M-T	C=[C]CCC(=C)C	! Confirmed by alongd
C4H5-2	[CH2]C#CC	! Confirmed by alongd
CH2CCH2OH	C=[C]CO	! Confirmed by alongd
C3H6O1-2	CC1CO1	! Confirmed by alongd
C5H11O2H-1	CCCCCOO	! Confirmed by alongd
CVCCVCCOH	C=CC=CCO	! Confirmed by alongd
C5H10OOH1-5	[CH2]CCCCOO	! Confirmed by alongd
HOCH2O	[O]CO	! Confirmed by alongd
C3H6OH1-1	CC[CH]O	! Confirmed by alongd
SC3H5OH	CC=CO	! Confirmed by alongd
C5H91-3,4OOH	[CH2]CC(OO)C(C)OO	! Confirmed by alongd
C2H4O2H	[CH2]COO	! Confirmed by alongd
NH2	[NH2]	! Confirmed by alongd
C4H72-1,4OOH	OOC[CH]CCOO	! Confirmed by alongd
IC4H8	C=C(C)C	! Confirmed by alongd
C5H5	[CH]1C=CC=C1	! Confirmed by alongd
IC4H7O	C=C(C)C[O]	! Confirmed by alongd
IC3H7CHO	CC(C)C=O	! Confirmed by alongd
CC5H10	C=CC(C)C	! Confirmed by alongd
PC4H9CO	CCCC[C]=O	! Confirmed by alongd
B13DE2MJ	[CH2]C(=C)C=C	! Confirmed by alongd
H15DE25DM-A	[CH2]C(=C)CCC(=C)C	! Confirmed by alongd
C5H7	[CH]1C=CCC1	! Confirmed by alongd
PC4H9O2H	CCCCOO	! Confirmed by alongd
AC5H9-A2	[CH2]C(=C)CC	! Confirmed by alongd
CC5H9-A	[CH2]C(C)C=C	! Confirmed by alongd
IC3H4CHO-A	[CH2]C(=C)C=O	! Confirmed by alongd
TC3H6CHO	C[C](C)C=O	! Confirmed by alongd
IC4H7OH	C=C(C)CO	! Confirmed by alongd
IC4H9O2	CC(C)CO[O]	! Confirmed by alongd
TC4H9O2	CC(C)(C)O[O]	! Confirmed by alongd
C#CCVCCJ	C#CC=C[CH2]	! Confirmed by alongd
C5H93-1,2OOH	CC[CH]C(COO)OO	! Confirmed by alongd
C5H10OOH3-2O2	CCC(OO)C(C)O[O]	! Confirmed by alongd
C5H91-2,5OOH	[CH2]C(CCCOO)OO	! Confirmed by alongd
NEOC5KETOX	CC(C)(C=O)C[O]	! Confirmed by alongd
IC3H5CO	C=C(C)[C]=O	! Confirmed by alongd
C5H10OOH1-2O2	CCCC(COO)O[O]	! Confirmed by alongd
IC4H7O2	C=C(C)CO[O]	! Confirmed by alongd
C2H5COC2H5	CCC(=O)CC	! Confirmed by alongd
IC4H7-I1	[CH]=C(C)C	! Confirmed by alongd
C3H6OOH1-2	C[CH]COO	! Confirmed by alongd
C4H8OOH1-4O2	[O]OCCCCOO	! Confirmed by alongd
C5H11O2-3	CCC(CC)O[O]	! Confirmed by alongd
H15DE25DM-AO	C=C(C)CCC(=C)C[O]	! Confirmed by alongd
C5H91-3OOH	C=CC(CC)OO	! Confirmed by alongd
C5H10OOH1-2	CCC[CH]COO	! Confirmed by alongd
C2H3COCH3	C=CC(C)=O	! Confirmed by alongd
C4H71-2,3OOH	[CH2]C(OO)C(C)OO	! Confirmed by alongd
TQJC4H8OH	CC(C)(CO)O[O]	! Confirmed by alongd
C4H5OH-13	C=CC=CO	! Confirmed by alongd
C5H92-1OOH	CCC=CCOO	! Confirmed by alongd
C5H10OOH2-5O2	CC(CCCO[O])OO	! Confirmed by alongd
C4H71-2,4OOH	[CH2]C(CCOO)OO	! Confirmed by alongd
IC3H5COCH3	C=C(C)C(C)=O	! Confirmed by alongd
AC5H11O2	CCC(C)CO[O]	! Confirmed by alongd
C3H5OH	C=CCO	! Confirmed by alongd
CCYCCOOC-T1	C[C]1COOC1	! Confirmed by alongd
C5H9O1-4OOH-3	CC1OCCC1OO	! Confirmed by alongd
C5H5OH	OC1C=CC=C1	! Confirmed by alongd
QC4H7OHP	[CH2]C(C)(CO)OO	! Confirmed by alongd
IC4H7OOCH3	C=C(C)COOC	! Confirmed by alongd
DC5H10OOH-C	CC(C)[CH]COO	! Confirmed by alongd
C5H92-3,4OOH	C[CH]C(OO)C(C)OO	! Confirmed by alongd
C5H10OH14	C[CH]CCCO	! Confirmed by alongd
C5H9O2-3OOH-4	CC(OO)C1OC1C	! Confirmed by alongd
C4H7O1-3OOH-4	OOCC1CCO1	! Confirmed by alongd
C6H5O	O=C1C=C[CH]C=C1	! Confirmed by alongd
IC3H7CO	CC(C)[C]=O	! Confirmed by alongd
C4H7O1-4OOH-2	OOC1CCOC1	! Confirmed by alongd
AC5H10OOH-B	CC[C](C)COO	! Confirmed by alongd
C5H92-4,5OOH	C[CH]CC(COO)OO	! Confirmed by alongd
C5H10OOH1-4O2	CC(CCCOO)O[O]	! Confirmed by alongd
IC3H5O2HCHO	[CH2]C(C)(C=O)OO	! Confirmed by alongd
C5H10O1-2	CCCC1CO1	! Confirmed by alongd
C5H11O2H-3	CCC(CC)OO	! Confirmed by alongd
CCY(CCO)COH	CC1(CO)CO1	! Confirmed by alongd
C5H10OOH2-5	[CH2]CCC(C)OO	! Confirmed by alongd
CH3CH2CHCOCH3	CCC=C(C)[O]	! Confirmed by alongd
NC5KET14	CC(CCC=O)OO	! Confirmed by alongd
IC4H8O2H-T	C[C](C)COO	! Confirmed by alongd
C5H10OOH3-2	C[CH]C(CC)OO	! Confirmed by alongd
SC4H7OH-I	CC(C)=CO	! Confirmed by alongd
C4H8OOH1-3	C[CH]CCOO	! Confirmed by alongd
C4H8OOH1-4	[CH2]CCCOO	! Confirmed by alongd
C4H8OOH1-2	CC[CH]COO	! Confirmed by alongd
C3H6O1-3	C1COC1	! Confirmed by alongd
C5H9O13-5	[CH2]CC1CCO1	! Confirmed by alongd
C4H8O1-4	C1CCOC1	! Confirmed by alongd
C3KET21	CC(=O)COO	! Confirmed by alongd

C3H3O	C#CC[O]	! Confirmed by alongd
CC3H4	C1=CC1	! Confirmed by alongd
C2H2OH	[CH]=CO	! Confirmed by alongd
C2H5COOH	CCC(=O)O	! Confirmed by alongd
CH3COCH2O2	CC(=O)CO[O]	! Confirmed by alongd
C2CYCOOC-I1	[CH2]C1(C)COO1	! Confirmed by alongd
C5H92-3,5OOH	C[CH]C(CCOO)OO	! Confirmed by alongd
C4H8OOH2-3O2	CC(O[O])C(C)OO	! Confirmed by alongd
C6H5OOH	OOC1C=CC=CC=1	! Confirmed by alongd
C6H5OH	OC1C=CC=CC=1	! Confirmed by alongd
C4H71-3,4OOH	[CH2]CC(COO)OO	! Confirmed by alongd
C6H4OH	OC1C=CC=[C]C=1	! Confirmed by alongd
H15DE25DM-SO	C=C(C)CC([O])C(=C)C	! Confirmed by alongd
H15DE25DM-S	[CH2]C(C)=CCC(=C)C	! Confirmed by alongd
TC3H6O2CHO	CC(C)(C=O)O[O]	! Confirmed by alongd
C5H6-L	C#CC=CC	! Confirmed by alongd
NEOC5KEJOL	CC(C)([C]=O)CO	! Confirmed by alongd
IC4H8OH-IT	C[C](C)CO	! Confirmed by alongd
IC4H7OOH	C=C(C)COO	! Confirmed by alongd
C5H10OOH1-3O2	CCC(CCOO)O[O]	! Confirmed by alongd
C4H8OOH1-2O2	CCC(COO)O[O]	! Confirmed by alongd
C5H10OOH3-1O2	CCC(CCO[O])OO	! Confirmed by alongd
C4H7O1-2OOH-4	OOCCC1CO1	! Confirmed by alongd
C5H91-5OOH	C=CCCCOO	! Confirmed by alongd
C5H92-1,4OOH	CC(C[CH]COO)OO	! Confirmed by alongd

IC4H6OH	[CH2]C(C)=CO	! Confirmed by alongd
C8H131-5,3,TAO	C=CC(C)([O])CC=CC	! Confirmed by alongd
C8H131-5,3-4,TAO	C=CC(C)C(C)([O])C=C	! Confirmed by alongd
TC4H9O2H	CC(C)(C)OO	! Confirmed by alongd
SC3H5CO	CC=C[C]=O	! Confirmed by alongd
IC4H9O2H	CC(C)COO	! Confirmed by alongd
NC3H7CO	CCC[C]=O	! Confirmed by alongd
C5H4OH	OC1[CH]C=CC=1	! Confirmed by alongd
IC3H5COCH2	[CH2]C(=O)C(=C)C	! Confirmed by alongd
AC3H4COCH3	[CH2]C(=C)C(C)=O	! Confirmed by alongd
C3H6CHO-1	[CH2]CCC=O	! Confirmed by alongd
CH2CHOCH2	[CH]1CCO1	! Confirmed by alongd
C5H9O2-4OOH-1	CC1CC(COO)O1	! Confirmed by alongd
C5H92-5OOH	CC=CCCOO	! Confirmed by alongd
OC6H4OH	O=C1C=C[CH]C(O)=C1	! Confirmed by alongd
C4H6O23	C1=COCC1	! Confirmed by alongd
C5H92-1,3OOH	CCC([CH]COO)OO	! Confirmed by alongd
CCYC2OCO	CC1(C[O])CO1	! Confirmed by alongd
NC5KET15O	[O]CCCCC=O	! Confirmed by alongd
C5H92-4OOH	CC=CC(C)OO	! Confirmed by alongd
C3H6OOH1-3	[CH2]CCOO	! Confirmed by alongd
NC5KET31	CCC(=O)CCOO	! Confirmed by alongd
NC5KET24	CC(=O)CC(C)OO	! Confirmed by alongd
CH2CH2COCH3	[CH2]CC(C)=O	! Confirmed by alongd
IC4H7OOIC4H7	C=C(C)COOCC(=C)C	! Confirmed by alongd
C5H5O	[O]C1C=CC=C1	! Confirmed by alongd
CH3COOH	CC(=O)O	! Confirmed by alongd
NC5CYCPER24	CC1CC(C)(O)OO1	! Confirmed by alongd
C5H4O	O=C1C=CC=C1	! Confirmed by alongd
C5H9O1-2OOH-3	CCC(OO)C1CO1	! Confirmed by alongd
C5H9O2-3OOH-1	CCC1OC1COO	! Confirmed by alongd
C4H8OOH2-1O2	CCC(CO[O])OO	! Confirmed by alongd
AC5H11O2H	CCC(C)COO	! Confirmed by alongd
C5H91-4OOH	C=CCC(C)OO	! Confirmed by alongd
C5H93-1,4OOH	CC([CH]CCOO)OO	! Confirmed by alongd
C4H72-3,4OOH	C[CH]C(COO)OO	! Confirmed by alongd
C5H10OOH1-4	C[CH]CCCOO	! Confirmed by alongd
A-BC5H10O	CCC1(C)CO1	! Confirmed by alongd
C3H6OH2-1	[CH2]C(C)O	! Confirmed by alongd
C4H8O1-2	CCC1CO1	! Confirmed by alongd
C5H91-3,5OOH	[CH2]CC(CCOO)OO	! Confirmed by alongd
C5H10O2-3	CCC1OC1C	! Confirmed by alongd
C5H10O1-4	CC1CCCO1	! Confirmed by alongd
NC5KET13	CCC(CC=O)OO	! Confirmed by alongd
TQC4H7OHI	CC(C)([CH]O)OO	! Confirmed by alongd
C4H8OOH2-3	C[CH]C(C)OO	! Confirmed by alongd
CH2CH2COC2H5	[CH2]CC(=O)CC	! Confirmed by alongd
IC4H7CHO	C=C(C)CC=O	! Confirmed by alongd
C5H9O1-4OOH-2	CC1CC(CO1)OO	! Confirmed by alongd
CC5H10OOH-D	[CH2]C(OO)C(C)C	! Confirmed by alongd
C5H9O1-2OOH-4	CC(CC1CO1)OO	! Confirmed by alongd
B2E2M1OJ	CC=C(C)C[O]	! Confirmed by alongd
C3H51-2,3OOH	[CH2]C(COO)OO	! Confirmed by alongd
CHOCHO	O=CC=O	! Confirmed by alongd
C6H101-3,3	C=CC(C)=CC	! Confirmed by alongd
C6H10D24	CC=CC=CC	! Confirmed by alongd
B12DE3M	C=C=C(C)C	! Confirmed by alongd
NC5H11OH	CCCCCO	! Confirmed by alongd
HOCHCHO	[O]C=CO	! Confirmed by alongd
C5H92-1,5OOH	OOC[CH]CCCOO	! Confirmed by alongd
C5H9O1-4OOH-5	OOCC1CCCO1	! Confirmed by alongd
C4H7O1-3OOH-2	CC1OCC1OO	! Confirmed by alongd
C3H6OOH2-1O2	CC(CO[O])OO	! Confirmed by alongd
C5H93-2,4OOH	CC([CH]C(C)OO)OO	! Confirmed by alongd
C5H3O	O=C1[C]=CC=C1	! Confirmed by alongd
C4H7O2-3OOH-1	CC1OC1COO	! Confirmed by alongd
C5H10OH15	[CH2]CCCCO	! Confirmed by alongd
NC5KET25O	CC(=O)CCC[O]	! Confirmed by alongd
C5H9O1-2OOH-5	OOCCCC1CO1	! Confirmed by alongd
C5H9O1-3OOH-5	OOCCC1CCO1	! Confirmed by alongd
C3H6OOH1-2O2	CC(COO)O[O]	! Confirmed by alongd
C3H5O1-3OOH-2	OOC1COC1	! Confirmed by alongd
TC3H6O2HCO	CC(C)([C]=O)OO	! Confirmed by alongd
C-DC5H10O	CC(C)C1CO1	! Confirmed by alongd
NC5KET25	CC(=O)CCCOO	! Confirmed by alongd
C5H9O1-5OOH-3	OOC1CCOCC1	! Confirmed by alongd
TC3H6OCHO	CC(C)([O])C=O	! Confirmed by alongd
IIC4H7Q2-T	C[C](COO)COO	! Confirmed by alongd
C5H9O2-4OOH-3	CC1OC(C)C1OO	! Confirmed by alongd
AC5H10OOH-C	C[CH]C(C)COO	! Confirmed by alongd
AC5H10OOH-A	[CH2]C(CC)COO	! Confirmed by alongd
SC4H8OH-3	C[CH]C(C)O	! Confirmed by alongd
C5H10O1-5	C1CCOCC1	! Confirmed by alongd
IC5KETCDO	CC(C)C(=O)C[O]	! Confirmed by alongd
TC4H8O2H-I	[CH2]C(C)(C)OO	! Confirmed by alongd
IQC4H8OT	CC(C)([O])COO	! Confirmed by alongd
NC5KET12	CCCC(C=O)OO	! Confirmed by alongd
CC5H10OOH-A	[CH2]C(C)C(C)OO	! Confirmed by alongd
NC5KET21O	CCCC(=O)C[O]	! Confirmed by alongd
NC53ONEO2-1	CCC(=O)CCO[O]	! Confirmed by alongd
IC5KETCD	CC(C)C(=O)COO	! Confirmed by alongd
C2H4O1-2	C1CO1	! Confirmed by alongd
NC52ONEO2-3	CCC(O[O])C(C)=O	! Confirmed by alongd
IC3H6CO	CC(C)=C=O	! Confirmed by alongd
DC5H10OOH-A	[CH2]C(C)CCOO	! Confirmed by alongd
C4H8O1-3	CC1CCO1	! Confirmed by alongd
C2CY(COC)OH	CC1(C)OC1O	! Confirmed by alongd
C4H8O2-3	CC1OC1C	! Confirmed by alongd
PC4H8OH-1	CCC[CH]O	! Confirmed by alongd
C3KET12	CC(C=O)OO	! Confirmed by alongd
A-DC5H10O	CC1CCOC1	! Confirmed by alongd
TIC4H7Q2-I	[CH2]C(C)(COO)OO	! Confirmed by alongd
